=== ciu ===
CIU_CHIP_ID                  0xd4282c00 0x00B02128
MPMU_TS                0xd4050080 0xFF086000
MPMU_WDTPCR            0xd4050200 0x00000003
MPMU_APCR              0xd4051000 0x21006000
MPMU_APSR              0xd4051004 0x85000000
MPMU_APRR              0xd4051020 0x00000040
MPMU_ACGR              0xd4051024 0xDFFEFFFE
MPMU_ARSR              0xd4051028 0x00000007
MPMU_AWUCRS            0xd4051048 0x80000400
MPMU_AWUCRM            0xd405104c 0x00000000
MPMU_HSI_CLK_RES_CTRL  0xd4051050 0x00000008
PMUM_PLL3_CR           0xd4050050 0x001A5B00
PMUM_POSR2             0xd4050054 0x00004696
PMUM_PLL3_CTRL1        0xd4050058 0x25290499
PMUM_PLL3_CTRL2        0xd4050060 0x00000001
PMUM_PLL3_CTRL3        0xd4050064 0x00000000
PMUM_PLL_DIFF_CTRL     0xd4050068 0x000004D1

=== apmu ===
APMU_CC_SP                          0xd4282800 0x88B99001
APMU_CC_PJ                          0xd4282804 0x00BC0510
APMU_DM_CC_SP                       0xd4282808 0x00FC00D9
APMU_DM_CC_PJ                       0xd428280c 0x00FC0110
APMU_FC_TIMER                       0xd4282810 0x00000000
APMU_SP_IDLE_CFG                    0xd4282814 0x80300020
APMU_PJ_IDLE_CFG                    0xd4282818 0xE0000700
APMU_CCIC_CLK_GATE_CTRL             0xd4282828 0x00000000
APMU_FBRC1_CLK_GATE_CTRL            0xd428282c 0x00000003
APMU_FBRC2_CLK_GATE_CTRL            0xd4282830 0x00000003
APMU_PMU_CLK_GATE_CTRL              0xd4282840 0x00300000
APMU_IRE_CLK_RES_CTRL               0xd4282848 0x00000000
APMU_DISPLAY1_CLK_RES_CTRL          0xd428284c 0x0000011B
APMU_CCIC_CLK_RES_CTRL              0xd4282850 0x00026800
APMU_SDH1_CLK_RES_CTRL              0xd4282854 0x0000041B
APMU_SDH2_CLK_RES_CTRL              0xd4282858 0x0000001B
APMU_USB_CLK_RES_CTRL               0xd428285c 0x00000009
APMU_NF_CLK_RES_CTRL                0xd4282860 0x00000000
APMU_DMA_CLK_RES_CTRL               0xd4282864 0x0000001F
APMU_WTM_CLK_RES_CTRL               0xd4282868 0x0000005B
APMU_BUS_CLK_RES_CTRL               0xd428286c 0x00000603
APMU_WAKE_CLR_MASK                  0xd428287c 0x00000000
APMU_PWR_STBL_TIMER                 0xd4282884 0x021A1A9F
APMU_SRAM_PWR_DWN                   0xd428288c 0x00000000
APMU_CORE_STATUS                    0xd4282890 0x000003D1
APMU_RES_FRM_SLP_CLR                0xd4282894 0x00000000
APMU_AP_IRWC                        0xd428289c 0x00000000
APMU_AP_ISR                         0xd42828a0 0x00000000
APMU_VMETA_CLK_RES_CTRL             0xd42828a4 0x00040000
APMU_MC_HW_SLP_TYPE                 0xd42828b0 0x00000000
APMU_MC_SLP_REQ_PJ                  0xd42828b4 0x00000000
APMU_MC_SW_SLP_TYPE                 0xd42828c0 0x00000000
APMU_PLL_SEL_STATUS                 0xd42828c4 0x000030D0
APMU_GC_CLK_RES_CTRL                0xd42828cc 0x33000000
APMU_SMC_CLK_RES_CTRL               0xd42828d4 0x00000000
APMU_GLB_CLK_CTRL                   0xd42828dc 0x000300FF
APMU_PWR_ONOFF_CTRL                 0xd42828e0 0x00000000
APMU_PWR_ISL_TIMER                  0xd42828e4 0x00000000
APMU_SDH3_CLK_RES_CTRL              0xd42828e8 0x00000000
APMU_SDH4_CLK_RES_CTRL              0xd42828ec 0x00000000
APMU_CCIC2_CLK_RES_CTRL             0xd42828f4 0x00016800
APMU_HSIC1_CLK_RES_CTRL             0xd42828f8 0x0000001B
APMU_HSIC2_CLK_RES_CTRL             0xd42828fc 0x00000000
APMU_FSIC3_CLK_RES_CTRL             0xd4282900 0x00000D1B
APMU_SLIM_CLK_RES_CTRL              0xd4282904 0x00000000
APMU_AUDIO_CLK_RES_CTRL             0xd428290c 0x00000700
APMU_DISPLAY2_CLK_RES_CTRL          0xd4282910 0x00000240
APMU_CCIC2_CLK_GATE_CTRL            0xd4282918 0x00000000
APMU_MC_PAR_CTRL                    0xd428291c 0x00000004
APMU_SPMI_CLK_RES_CTRL              0xd4282940 0x00000040
APMU_EPD_CLK_RES_CTRL               0xd4282944 0x00000000
APMU_USB3SS_CLK_RES_CTRL            0xd4282948 0x00000000
APMU_CC2_SP                         0xd428294c 0x000000DB
APMU_CC2_PJ                         0xd4282950 0x8E220001
APMU_DM2_CC_SP                      0xd4282954 0x000000D9
APMU_DM2_CC_PJ                      0xd4282958 0x042200D9
APMU_SDH5_CLK_RES_CTRL              0xd4282960 0x00000000
APMU_DSA_CLK_RES_CTRL               0xd4282964 0x0000000F
IOC_CTRL                            0xd4282984 0x00000000
APMU_CC3_PJ                         0xd4282988 0x0210EC18
APMU_TPIU_CLK_RES_CTRL              0xd428298c 0x00000000
APMU_DEBUG2                         0xd4282990 0x00000000
APMU_RF1P_CTRL                      0xd42829c0 0x00000005
APMU_RF2P_CTRL                      0xd42829c4 0x00000009
APMU_SR1P_CTRL                      0xd42829c8 0x00000009
APMU_SR2P_CTRL                      0xd42829cc 0x00000009
APMU_SR1P_CTRL                      0xd42829c8 0x00000009
APMU_BROM_CTRL                      0xd42829d0 0x0000001A
APMU_ISP_PWR_CTRL                   0xd42829fc 0x00000000
APMU_PJ_IDLE_CFG2                   0xd4282a00 0xE0000300
APMU_PJ_IDLE_CFG3                   0xd4282a04 0xE0000362
APMU_FASTENET_CLK_RES_CTRL          0xd4282a10 0x00000000
APMU_ISLAND_PWR_STATUS              0xd4282a20 0x00001806
APMU_ISP_CLK_RES_CTRL               0xd4282a24 0x00000000
APMU_AUDIO_ISLAND_SRAM_PWR_DWN_CTRL 0xd4282a40 0x0000000F
APMU_GENERIC_CTRL                   0xd4282a44 0x00550070
APMU_PJ_C0_CC4                      0xd4282a48 0x00000C12
APMU_PJ_C1_CC4                      0xd4282a4c 0x00000C12
APMU_PJ_C2_CC4                      0xd4282a50 0x00000C13
APMU_PJ_MP_SUBSYS_CC                0xd4282a54 0x0000000F
APMU_MC1_DOUBLER_CTRL               0xd4282a58 0x52E91809
APMU_MC2_DOUBLER_CTRL               0xd4282a5c 0x52E91809
APMU_DOUBLER_GENERIC_CTRL           0xd4282a60 0x0000000C
APMU_MC1_DOUBLER_STAT               0xd4282a64 0x52E91809
APMU_MC2_DOUBLER_STAT               0xd4282a68 0x52E91809
APMU_SDHM_DLL_CTRL0                 0xd4282a6c 0x00000000
APMU_SDHM_DLL_CTRL1                 0xd4282a70 0x00000000
APMU_SDHM_DLL_STAT0                 0xd4282a74 0x18EC763B
APMU_SDHM_DLL_STAT1                 0xd4282a78 0x00000078

=== apbc ===
APBC_MMP2_RTC           0xd4015000 0x00000083
APBC_MMP2_KPC           0xd4015018 0x00000004
APBC_MMP2_AIB           0xd4015064 0x00000003
APBC_MMP2_IPC           0xd4015078 0x00000003
APBC_MMP2_GPIO          0xd4015038 0x00000003
APBC_MMP2_PWM0          0xd401503c 0x00000004
APBC_MMP2_PWM1          0xd4015040 0x00000004
APBC_MMP2_PWM2          0xd4015044 0x00000004
APBC_MMP2_PWM3          0xd4015048 0x00000004
APBC_MMP2_SSP0          0xd401504c 0x00000000
APBC_MMP2_SSP1          0xd4015050 0x00000003
APBC_MMP2_SSP2          0xd4015054 0x00000003
APBC_MMP2_SSP3          0xd4015058 0x00000003
APBC_MMP2_SSP4          0xd401505c 0x00000003
APBC_MMP2_SSP5          0xd4015060 0x00000000
APBC_MMP2_USIM          0xd4015070 0x00000004
APBC_MMP2_MPMU          0xd4015074 0x00000003
APBC_MMP2_RIPC          0xd401508c 0x00000004
APBC_MMP2_TWSI1         0xd4015004 0x00000003
APBC_MMP2_TWSI2         0xd4015008 0x00000003
APBC_MMP2_TWSI3         0xd401500c 0x00000003
APBC_MMP2_TWSI4         0xd4015010 0x00000003
APBC_MMP2_UART1         0xd401502c 0x00000004
APBC_MMP2_UART2         0xd4015030 0x00000013
APBC_MMP2_UART3         0xd4015034 0x00000013
APBC_MMP2_ASFAR         0xd4015068 0x00000000
APBC_MMP2_ASSAR         0xd401506c 0x00000000
APBC_MMP2_TWSI5         0xd401507c 0x00000003
APBC_MMP2_TWSI6         0xd4015080 0x00000003
APBC_MMP2_UART4         0xd4015088 0x00000004
APBC_MMP2_TIMERS        0xd4015024 0x00000013
APBC_MMP2_ONEWIRE       0xd4015014 0x00000004
APBC_MMP2_SW_JTAG       0xd4015020 0x00000004
APBC_MMP2_THSENS1       0xd4015090 0x00000003
APBC_MMP2_TB_ROTARY     0xd401501c 0x00000004
APBC_MMP2_TWSI_INTSTS   0xd4015084 0x00000000
APBC_MMP2_THSENS_INTSTS 0xd40150a4 0x000000F0

=== gpio ===
GPIO_PLR0       0xd4019000 0xFFEC9FFF
GPIO_PLR1       0xd4019004 0xAFE641FF
GPIO_PLR2       0xd4019008 0x0000027F
GPIO_PDR0       0xd401900c 0x00000000
GPIO_PDR1       0xd4019010 0x00004000
GPIO_PDR2       0xd4019014 0x00040000
GPIO_PSR0       0xd4019018 0x00000000
GPIO_PSR1       0xd401901c 0x00000000
GPIO_PSR2       0xd4019020 0x00000000
GPIO_RER0       0xd4019030 0x00000000
GPIO_RER1       0xd4019034 0x00000000
GPIO_RER2       0xd4019038 0x00000000
GPIO_FER0       0xd401903c 0x00000000
GPIO_FER1       0xd4019040 0x00000000
GPIO_FER2       0xd4019044 0x00000000
GPIO_EDR0       0xd4019048 0x00000000
GPIO_EDR1       0xd401904c 0x00000000
GPIO_EDR2       0xd4019050 0x00000000
GPIO_SDR0       0xd4019054 0x00000000
GPIO_SDR1       0xd4019058 0x00000000
GPIO_SDR2       0xd401905c 0x00000000
GPIO_CDR0       0xd4019060 0x00000000
GPIO_CDR1       0xd4019064 0x00000000
GPIO_CDR2       0xd4019068 0x00000000
GPIO_SRER0      0xd401906c 0x00000000
GPIO_SRER1      0xd4019070 0x00000000
GPIO_SRER2      0xd4019074 0x00000000
GPIO_SFER0      0xd4019084 0x00000000
GPIO_SFER1      0xd4019088 0x00000000
GPIO_SFER2      0xd401908c 0x00000000
GPIO_CFER0      0xd4019090 0x00000000
GPIO_CFER1      0xd4019094 0x00000000
GPIO_CFER2      0xd4019098 0x00000000
GPIO_APMASK0    0xd401909c 0xFFFFFFFF
GPIO_APMASK1    0xd40190a0 0xFFFFFFFF
GPIO_APMASK2    0xd40190a4 0xFFFFFFFF
GPIO_PLR3       0xd4019100 0xF81C0000
GPIO_PLR4       0xd4019104 0x00000E07
GPIO_PLR5       0xd4019108 0x00000800
GPIO_PDR3       0xd401910c 0x07E00000
GPIO_PDR4       0xd4019110 0x00000000
GPIO_PDR5       0xd4019114 0x00000000
GPIO_PSR3       0xd4019118 0x00000000
GPIO_PSR4       0xd401911c 0x00000000
GPIO_PSR5       0xd4019120 0x00000000
GPIO_RER3       0xd4019130 0x00000000
GPIO_RER4       0xd4019134 0x00000000
GPIO_RER5       0xd4019138 0x00000000
GPIO_FER3       0xd401913c 0x00000000
GPIO_FER4       0xd4019140 0x00000000
GPIO_FER5       0xd4019144 0x00000000
GPIO_EDR3       0xd4019148 0x00000000
GPIO_EDR4       0xd401914c 0x00000000
GPIO_EDR5       0xd4019150 0x00000000
GPIO_SDR3       0xd4019154 0x00000000
GPIO_SDR4       0xd4019158 0x00000000
GPIO_SDR5       0xd401915c 0x00000000
GPIO_CDR3       0xd4019160 0x00000000
GPIO_CDR4       0xd4019164 0x00000000
GPIO_CDR5       0xd4019168 0x00000000
GPIO_SRER3      0xd401916c 0x00000000
GPIO_SRER4      0xd4019170 0x00000000
GPIO_SRER5      0xd4019174 0x00000000
GPIO_SFER3      0xd4019184 0x00000000
GPIO_SFER4      0xd4019188 0x00000000
GPIO_SFER5      0xd401918c 0x00000000
GPIO_CFER3      0xd4019190 0x00000000
GPIO_CFER4      0xd4019194 0x00000000
GPIO_CFER5      0xd4019198 0x00000000
GPIO_APMASK3    0xd401919c 0xFFFFFFFF
GPIO_APMASK4    0xd40191a0 0xFFFFFFFF
GPIO_APMASK5    0xd40191a4 0xFFFFFFFF

=== intc ===
 0 IRQ_MMP2_SSP1              0xd4282000 0x00000000 0xd4284000 0x00000000
 1 IRQ_MMP2_SSP2              0xd4282004 0x00000000 0xd4284004 0x00000000
 2 IRQ_MMP2_SSPA1             0xd4282008 0x00000000 0xd4284008 0x00000000
 3 IRQ_MMP2_SSPA2             0xd428200c 0x00000000 0xd428400c 0x00000000
 4 IRQ_MMP2_PMIC_MUX          0xd4282010 0x00000000 0xd4284010 0x00000000
 5 IRQ_MMP2_RTC_MUX           0xd4282014 0x00000000 0xd4284014 0x00000000
 6 IRQ_MMP2_IRQ_6             0xd4282018 0x00000000 0xd4284018 0x00000000
 7 IRQ_MMP2_TWSI1             0xd428201c 0x00000000 0xd428401c 0x00000000
 8 IRQ_MMP2_GPU               0xd4282020 0x00000000 0xd4284020 0x00000000
 9 IRQ_MMP2_KEYPAD            0xd4282024 0x00000000 0xd4284024 0x00000000
10 IRQ_MMP2_ROTARY            0xd4282028 0x00000000 0xd4284028 0x00000000
11 IRQ_MMP2_TRACKBALL         0xd428202c 0x00000000 0xd428402c 0x00000000
12 IRQ_MMP2_ONEWIRE           0xd4282030 0x00000000 0xd4284030 0x00000000
13 IRQ_MMP2_TIMER1            0xd4282034 0x00000000 0xd4284034 0x00000000
14 IRQ_MMP2_TIMER2            0xd4282038 0x00000000 0xd4284038 0x00000000
15 IRQ_MMP2_TIMER3            0xd428203c 0x00000000 0xd428403c 0x00000000
16 IRQ_MMP2_RIPC              0xd4282040 0x00000000 0xd4284040 0x00000000
17 IRQ_MMP2_TWSI_MUX          0xd4282044 0x00000000 0xd4284044 0x00000000
18 IRQ_MMP2_IRQ_18            0xd4282048 0x00000000 0xd4284048 0x00000000
19 IRQ_MMP2_HDMI              0xd428204c 0x00000000 0xd428404c 0x00000000
20 IRQ_MMP2_SSP3              0xd4282050 0x00000000 0xd4284050 0x00000000
21 IRQ_MMP2_SSP4              0xd4282054 0x00000000 0xd4284054 0x00000000
22 IRQ_MMP2_USB_HS1           0xd4282058 0x00000000 0xd4284058 0x00000000
23 IRQ_MMP2_IO_EDGE_DETECT    0xd428205c 0x00000000 0xd428405c 0x00000000
24 IRQ_MMP2_UART3             0xd4282060 0x00000000 0xd4284060 0x00000000
25 IRQ_MMP2_IRQ_25            0xd4282064 0x00000000 0xd4284064 0x00000000
26 IRQ_MMP2_VMETA             0xd4282068 0x00000000 0xd4284068 0x00000000
27 IRQ_MMP2_UART1             0xd428206c 0x00000000 0xd428406c 0x00000000
28 IRQ_MMP2_UART2             0xd4282070 0x0000000F 0xd4284070 0x00000000
29 IRQ_MMP2_MIPI_DSI          0xd4282074 0x00000000 0xd4284074 0x00000000
30 IRQ_MMP2_CI2               0xd4282078 0x00000000 0xd4284078 0x00000000
31 IRQ_MMP2_PMU_TIMER1        0xd428207c 0x00000000 0xd428407c 0x00000000
32 IRQ_MMP2_PMU_TIMER2        0xd4282080 0x00000000 0xd4284080 0x00000000
33 IRQ_MMP2_PMU_TIMER3        0xd4282084 0x00000000 0xd4284084 0x00000000
34 IRQ_MMP2_USB_FS            0xd4282088 0x00000000 0xd4284088 0x00000000
35 IRQ_MMP2_MISC_MUX          0xd428208c 0x00000000 0xd428408c 0x00000000
36 IRQ_MMP2_WDT1              0xd4282090 0x00000000 0xd4284090 0x00000000
37 IRQ_MMP2_NAND_DMA          0xd4282094 0x00000000 0xd4284094 0x00000000
38 IRQ_MMP2_USIM              0xd4282098 0x00000000 0xd4284098 0x00000000
39 IRQ_MMP2_MMC               0xd428209c 0x00000000 0xd428409c 0x00000000
40 IRQ_MMP2_WTM               0xd42820a0 0x00000000 0xd42840a0 0x00000000
41 IRQ_MMP2_LCD               0xd42820a4 0x00000000 0xd42840a4 0x00000000
42 IRQ_MMP2_CI                0xd42820a8 0x00000000 0xd42840a8 0x00000000
43 IRQ_MMP2_IRE               0xd42820ac 0x00000000 0xd42840ac 0x00000000
44 IRQ_MMP2_USB_OTG           0xd42820b0 0x00000000 0xd42840b0 0x00000000
45 IRQ_MMP2_NAND              0xd42820b4 0x00000000 0xd42840b4 0x00000000
46 IRQ_MMP2_UART4             0xd42820b8 0x00000000 0xd42840b8 0x00000000
47 IRQ_MMP2_DMA_FIQ           0xd42820bc 0x00000000 0xd42840bc 0x00000000
48 IRQ_MMP2_DMA_RIQ           0xd42820c0 0x00000000 0xd42840c0 0x00000000
49 IRQ_MMP2_GPIO              0xd42820c4 0x00000000 0xd42840c4 0x00000000
50 IRQ_MMP2_IRQ_50            0xd42820c8 0x00000000 0xd42840c8 0x00000000
51 IRQ_MMP2_SSP_MUX           0xd42820cc 0x00000000 0xd42840cc 0x00000000
52 IRQ_MMP2_MMC2              0xd42820d0 0x00000000 0xd42840d0 0x00000000
53 IRQ_MMP2_MMC3              0xd42820d4 0x0000000F 0xd42840d4 0x00000000
54 IRQ_MMP2_MMC4              0xd42820d8 0x00000000 0xd42840d8 0x00000000
55 IRQ_MMP2_MIPI_HSI          0xd42820dc 0x0000000F 0xd42840dc 0x00000000
56 IRQ_MMP2_IRQ_56            0xd42820e0 0x00000000 0xd42840e0 0x00000000
57 IRQ_MMP2_IRQ_57            0xd42820e4 0x00000000 0xd42840e4 0x00000000
58 IRQ_MMP2_MSP               0xd42820e8 0x00000000 0xd42840e8 0x00000000
59 IRQ_MMP2_MIPI_SLIM_DMA     0xd42820ec 0x00000000 0xd42840ec 0x00000000
60 IRQ_MMP2_PJ4_FREQ_CHG      0xd42820f0 0x00000000 0xd42840f0 0x00000000
61 IRQ_MMP2_IRQ_61            0xd42820f4 0x00000000 0xd42840f4 0x00000000
62 IRQ_MMP2_MIPI_SLIM         0xd42820f8 0x00000000 0xd42840f8 0x00000000
63 IRQ_MMP2_SM                0xd42820fc 0x00000000 0xd42840fc 0x00000000

MMP2_ICU_SP_IRQ_SEL           0xd4282100 0x00000000
MMP2_ICU_PJ4_IRQ_SEL          0xd4282104 0x00000000
MMP2_ICU_PJ4_FIQ_SEL          0xd4282108 0x00000000
MMP2_ICU_PJ4_IRQ_GLOBAL_MASK  0xd4282110 0x00000001

MMP3_ICU_GBL_IRQ1_MSK         0xd4282110 0x00000001
MMP3_ICU_GBL_IRQ2_MSK         0xd4282114 0x00000001
MMP3_ICU_GBL_IRQ3_MSK         0xd428410C 0x00000001
MMP3_ICU_GBL_IRQ4_MSK         0xd4284110 0x00000001
MMP3_ICU_GBL_IRQ5_MSK         0xd4284114 0x00000001
MMP3_ICU_GBL_IRQ6_MSK         0xd4284190 0x00000001

MMP2_ICU_PJ4_IRQ_STATUS0      0xd4282138 0x00000000
MMP2_ICU_PJ4_IRQ_STATUS1      0xd428213c 0x00000000
MMP2_ICU_PJ4_FIQ_STATUS0      0xd4282140 0x00000000
MMP2_ICU_PJ4_FIQ_STATUS1      0xd4282144 0x00000000
MMP2_ICU_INT4_STATUS          0xd4282150 0x00000000
MMP2_ICU_INT5_STATUS          0xd4282154 0x00000000
MMP2_ICU_INT17_STATUS         0xd4282158 0x00000000
MMP2_ICU_INT35_STATUS         0xd428215c 0x00000000
MMP2_ICU_INT51_STATUS         0xd4282160 0x00000000
MMP2_ICU_INVERT               0xd4282164 0x00000000
MMP2_ICU_INT4_MASK            0xd4282168 0x000000FF
MMP2_ICU_INT5_MASK            0xd428216c 0x000000FF
MMP2_ICU_INT17_MASK           0xd4282170 0x000000FF
MMP2_ICU_INT35_MASK           0xd4282174 0x7FFFFFFF
MMP2_ICU_INT51_MASK           0xd4282178 0x000000FF

MMP3_ICU_GBL_FIQ_MSK         0xd4282304 0x00000000

=== mfp ===
0          GPIO0      0x054      [0x00000000 0] *GPIO        KP_MK       NONE        SPI         NONE        NONE        NONE
1          GPIO1      0x058      [0x00000000 0] *GPIO        KP_MK       NONE        SPI         NONE        NONE        NONE
2          GPIO2      0x05C      [0x00000000 0] *GPIO        KP_MK       NONE        SPI         NONE        NONE        NONE
3          GPIO3      0x060      [0x00000000 0] *GPIO        KP_MK       NONE        SPI         NONE        NONE        NONE
4          GPIO4      0x064      [0x00000000 0] *GPIO        KP_MK       NONE        NONE        NONE        NONE        NONE
5          GPIO5      0x068      [0x00000000 0] *GPIO        KP_MK       NONE        SPI         NONE        NONE        NONE
6          GPIO6      0x06C      [0x00000000 0] *GPIO        KP_MK       NONE        SPI         NONE        NONE        NONE
7          GPIO7      0x070      [0x00000000 0] *GPIO        KP_MK       NONE        SPI         NONE        NONE        NONE
8          GPIO8      0x074      [0x00000000 0] *GPIO        KP_MK       NONE        NONE        NONE        NONE        NONE
9          GPIO9      0x078      [0x00000000 0] *GPIO        KP_MK       NONE        NONE        NONE        NONE        NONE
10         GPIO10     0x07C      [0x00000000 0] *GPIO        KP_MK       NONE        NONE        NONE        NONE        NONE
11         GPIO11     0x080      [0x00000000 0] *GPIO        KP_MK       NONE        NONE        NONE        NONE        NONE
12         GPIO12     0x084      [0x00000000 0] *GPIO        KP_MK       NONE        CCIC1       NONE        NONE        NONE
13         GPIO13     0x088      [0x00000000 0] *GPIO        KP_MK       NONE        CCIC1       NONE        NONE        NONE
14         GPIO14     0x08C      [0x00000000 0] *GPIO        KP_MK       NONE        CCIC1       NONE        NONE        NONE
15         GPIO15     0x090      [0x00000000 0] *GPIO        KP_MK       KP_DK       CCIC1       NONE        NONE        NONE
16         GPIO16     0x094      [0x00000000 0] *GPIO        KP_DK       ROT         CCIC1       NONE        NONE        NONE
17         GPIO17     0x098      [0x00000000 0] *GPIO        KP_DK       ROT         CCIC1       NONE        NONE        NONE
18         GPIO18     0x09C      [0x00000000 0] *GPIO        KP_DK       ROT         CCIC1       NONE        NONE        NONE
19         GPIO19     0x0A0      [0x00000000 0] *GPIO        KP_DK       ROT         CCIC1       NONE        NONE        NONE
20         GPIO20     0x0A4      [0x00000000 0] *GPIO        KP_DK       TB          CCIC1       NONE        NONE        NONE
21         GPIO21     0x0A8      [0x00000000 0] *GPIO        KP_DK       TB          CCIC1       NONE        NONE        NONE
22         GPIO22     0x0AC      [0x00000000 0] *GPIO        KP_DK       TB          CCIC1       NONE        NONE        NONE
23         GPIO23     0x0B0      [0x00000000 0] *GPIO        KP_DK       TB          CCIC1       NONE        NONE        NONE
24         GPIO24     0x0B4      [0x0000D0C0 0] *GPIO        I2S         VCXO_OUT    NONE        NONE        NONE        NONE
25         GPIO25     0x0B8      [0x0000D0C0 0] *GPIO        I2S         HDMI        SSPA2       NONE        NONE        NONE
26         GPIO26     0x0BC      [0x0000D0C0 0] *GPIO        I2S         HDMI        SSPA2       NONE        NONE        NONE
27         GPIO27     0x0C0      [0x0000D0C0 0] *GPIO        I2S         HDMI        SSPA2       NONE        NONE        NONE
28         GPIO28     0x0C4      [0x0000D0C0 0] *GPIO        I2S         NONE        SSPA2       NONE        NONE        NONE
29         GPIO29     0x0C8      [0x0000D0C0 0] *GPIO        UART1       KP_MK       NONE        NONE        NONE        AAS_SPI
30         GPIO30     0x0CC      [0x0000D0C0 0] *GPIO        UART1       KP_MK       NONE        NONE        NONE        AAS_SPI
31         GPIO31     0x0D0      [0x0000D0C0 0] *GPIO        UART1       KP_MK       NONE        NONE        NONE        AAS_SPI
32         GPIO32     0x0D4      [0x0000D0C0 0] *GPIO        UART1       KP_MK       NONE        NONE        NONE        AAS_SPI
33         GPIO33     0x0D8      [0x0000D0C0 0] *GPIO        SSPA2       I2S         NONE        NONE        NONE        NONE
34         GPIO34     0x0DC      [0x0000D0C0 0] *GPIO        SSPA2       I2S         NONE        NONE        NONE        NONE
35         GPIO35     0x0E0      [0x0000D0C0 0] *GPIO        SSPA2       I2S         NONE        NONE        NONE        NONE
36         GPIO36     0x0E4      [0x0000D0C0 0] *GPIO        SSPA2       I2S         NONE        NONE        NONE        NONE
37         GPIO37     0x0E8      [0x0000D0C0 0] *GPIO        MMC2        SSP1        TWSI2       UART2       UART3       AAS_SPI
38         GPIO38     0x0EC      [0x0000D0C0 0] *GPIO        MMC2        SSP1        TWSI2       UART2       UART3       AAS_SPI
39         GPIO39     0x0F0      [0x0000D0C0 0] *GPIO        MMC2        SSP1        TWSI2       UART2       UART3       AAS_SPI
40         GPIO40     0x0F4      [0x0000D0C0 0] *GPIO        MMC2        SSP1        TWSI2       UART2       UART3       AAS_SPI
41         GPIO41     0x0F8      [0x00000802 2]  GPIO        MMC2       *TWSI5       NONE        NONE        NONE        NONE
